--- Telegram Scrape Report ---
Timestamp: 2025-10-12 22:46:18
Total Channels: 117
Successful Scrapes: 81
Failed Scrapes: 0

--- Channels with Found Configs ---
heyatserver: 235 configs
v2raying: 230 configs
LonUp_M: 200 configs
V2RAY_VMESS_free: 179 configs
configfa: 174 configs
ShadowsocksM: 171 configs
meli_proxyy: 156 configs
configV2rayNG: 143 configs
FreakConfig: 133 configs
CaV2ray: 132 configs
v2rayng_1378: 121 configs
V2rayNG3: 114 configs
ViProxys: 100 configs
vpnaloo: 89 configs
v2rayngvpn: 87 configs
Awlix_ir: 85 configs
viturey: 61 configs
fastfreeconfig: 60 configs
hopev2ray: 55 configs
v2rayngconfig: 52 configs
yaney_01: 41 configs
dailyv2ray: 40 configs
VmessProtocol: 39 configs
customv2ray: 36 configs
vmessiran: 35 configs
shadowproxy66: 35 configs
OutlineReleasedKey: 34 configs
tehranargo: 33 configs
V2RAYROZ: 25 configs
ev2rayy: 25 configs
free4allVPN: 20 configs
FreeV2rays: 20 configs
GetConfigIR: 20 configs
IP_CF_Config: 20 configs
vpnfail_vless: 20 configs
freeconfigsplus: 20 configs
Farah_VPN: 20 configs
vmess_vless_v2rayng: 19 configs
V2rayNG_Outlinee: 19 configs
FreeVPNHomesConfigs: 19 configs
ArV2ray: 19 configs
server_nekobox: 18 configs
vpnstorefast: 18 configs
orange_vpns: 18 configs
golestan_vpn: 18 configs
v2rayvpnchannel: 18 configs
freedom_config: 18 configs
PrivateVPNs: 16 configs
proxy_kafee: 16 configs
v2ray_configs_pool: 16 configs
v2rayfree: 15 configs
v2ray_for_free: 14 configs
Vpnstable: 14 configs
NoForcedHeaven: 12 configs
Ahmedhamoomi_Servers: 12 configs
ConfigWireguard: 12 configs
ultrasurf_12: 11 configs
v2ngfast: 11 configs
vpn_ocean: 10 configs
GrizzlyVPN: 9 configs
v2Source: 9 configs
v2box_free: 9 configs
freev2raym: 9 configs
vip_vpn_2022: 8 configs
iraniv2ray: 8 configs
redfree8: 7 configs
configV2rayForFree: 6 configs
sinavm: 6 configs
ISVvpn: 6 configs
proSSH: 6 configs
v2rayngfreee: 6 configs
v2raymelliii: 6 configs
AzadNet: 5 configs
xroVPN: 5 configs
bypass_filter: 3 configs
ServerNett: 2 configs
Ln2Ray: 2 configs
hiddify_f: 2 configs
vmess_iran: 1 configs
ZeusVPN_Net: 1 configs
V2rey_vless: 1 configs

--- Failed Channels ---
